Row Labels,Total
E01005401,3
E01005402,14
E01005403,10
E01005406,7
E01005407,5
E01005408,8
E01005409,13
E01005410,2
E01005411,3
E01005412,9
E01005413,10
E01005414,11
E01005415,7
E01005416,9
E01005417,8
E01005418,5
E01005419,8
E01005420,8
E01005421,40
E01005422,15
E01005427,23
E01005428,41
E01005429,15
E01005430,16
E01005431,13
E01005432,31
E01005433,79
E01005434,160
E01005435,17
E01005436,11
E01005437,17
E01005438,37
E01005439,8
E01005440,18
E01005441,12
E01005442,2
E01005443,8
E01005444,10
E01005445,18
E01005446,15
E01005447,57
E01005448,25
E01005449,17
E01005450,27
E01005451,13
E01005452,6
E01005453,3
E01005454,7
E01005455,9
E01005456,24
E01005459,23
E01005460,25
E01005461,19
E01005462,13
E01005463,8
E01005464,16
E01005465,19
E01005466,50
E01005467,23
E01005468,11
E01005469,17
E01005470,9
E01005471,30
E01005472,21
E01005473,25
E01005474,11
E01005475,24
E01005476,11
E01005477,34
E01005478,15
E01005479,25
E01005480,35
E01005481,12
E01005482,196
E01005483,15
E01005484,73
E01005485,57
E01005486,13
E01005487,37
E01005488,5
E01005489,13
E01005490,15
E01005491,15
E01005492,13
E01005493,13
E01005494,29
E01005495,18
E01005496,15
E01005497,14
E01005498,8
E01005499,19
E01005500,11
E01005501,73
E01005502,16
E01005503,9
E01005504,28
E01005505,17
E01005506,9
E01005507,11
E01005508,19
E01005509,26
E01005510,1
E01005511,4
E01005512,16
E01005513,19
E01005514,14
E01005515,15
E01005516,2
E01005517,18
E01005518,17
E01005519,2
E01005520,13
E01005521,10
E01005522,25
E01005523,16
E01005524,6
E01005525,16
E01005526,15
E01005527,9
E01005528,10
E01005529,5
E01005530,6
E01005531,8
E01005532,40
E01005533,27
E01005534,7
E01005535,10
E01005536,18
E01005537,5
E01005538,23
E01005539,65
E01005540,10
E01005541,12
E01005542,17
E01005543,12
E01005544,11
E01005545,10
E01005546,12
E01005547,28
E01005548,51
E01005549,20
E01005550,7
E01005551,17
E01005552,32
E01005553,22
E01005554,18
E01005555,6
E01005556,29
E01005557,3
E01005558,18
E01005559,17
E01005560,17
E01005561,12
E01005562,16
E01005563,34
E01005564,37
E01005565,25
E01005566,21
E01005567,19
E01005568,43
E01005569,31
E01005570,11
E01005571,12
E01005572,10
E01005573,2
E01005574,10
E01005575,8
E01005576,3
E01005577,11
E01005578,14
E01005579,26
E01005580,30
E01005581,21
E01005583,31
E01005585,14
E01005586,48
E01005587,4
E01005588,15
E01005589,15
E01005590,26
E01005591,17
E01005592,18
E01005593,21
E01005594,7
E01005595,19
E01005596,26
E01005597,11
E01005598,5
E01005599,38
E01005600,12
E01005601,20
E01005602,17
E01005603,10
E01005604,11
E01005605,12
E01005609,23
E01005610,16
E01005611,49
E01005612,39
E01005613,35
E01005614,23
E01005615,20
E01005616,6
E01005617,1
E01005618,14
E01005619,2
E01005620,24
E01005621,22
E01005622,12
E01005623,7
E01005624,10
E01005625,9
E01005626,8
E01005627,7
E01005628,10
E01005629,8
E01005630,33
E01005631,36
E01005632,12
E01005633,8
E01005634,8
E01005635,15
E01005636,9
E01005637,10
E01005638,23
E01005639,17
E01005640,16
E01005641,9
E01005642,8
E01005643,4
E01005644,7
E01005645,2
E01005646,24
E01005647,9
E01005648,3
E01005649,7
E01005650,13
E01005651,30
E01005652,11
E01005653,20
E01005654,27
E01005655,32
E01005656,6
E01005657,19
E01005658,12
E01005659,17
E01005660,40
E01005661,24
E01005662,16
E01005663,7
E01005664,14
E01005665,22
E01005667,23
E01005670,42
E01005671,25
E01005672,25
E01005673,14
E01005674,19
E01005675,36
E01005676,8
E01005677,10
E01005678,19
E01005679,22
E01005680,39
E01005681,24
E01005682,20
E01005683,24
E01005686,22
E01005687,13
E01005688,8
E01005689,28
E01005690,10
E01005691,6
E01005692,34
E01005693,8
E01005694,2
E01005695,7
E01005696,5
E01005697,14
E01005698,9
E01005699,1
E01005700,9
E01005701,9
E01005702,25
E01005703,7
E01005704,20
E01005705,8
E01005706,20
E01005707,35
E01005708,37
E01005709,7
E01005710,5
E01005711,4
E01005712,10
E01005714,12
E01005715,17
E01005716,9
E01005717,7
E01005718,10
E01005719,24
E01005720,22
E01005721,14
E01005722,47
E01005723,23
E01005724,7
E01005725,22
E01005726,13
E01005727,10
E01005728,10
E01005729,26
E01005730,7
E01005731,12
E01005732,6
E01005733,9
E01005734,7
E01005735,1
E01005736,6
E01005737,8
E01005738,15
E01005739,5
E01005740,7
E01005741,8
E01005742,8
E01005743,14
E01005744,33
E01005745,13
E01005746,15
E01005747,5
E01005748,7
E01005749,10
E01005750,12
E01005751,5
E01005752,9
E01005753,21
E01005754,36
E01005755,27
E01005756,32
E01005757,33
E01005758,198
E01005759,4
E01005760,22
E01005761,17
E01005762,23
E01005763,16
E01005764,23
E01005765,11
E01005766,34
E01005767,5
E01005768,11
E01005769,42
E01005770,26
E01005771,6
E01005772,11
E01005773,9
E01005774,17
E01005775,12
E01005776,7
E01005777,19
E01005778,24
E01005779,13
E01005780,11
E01005781,37
E01005782,5
E01005783,4
E01005784,15
E01005785,15
E01005786,15
E01005787,5
E01005788,6
E01005789,10
E01005790,4
E01005791,5
E01005792,6
E01005793,10
E01005794,4
E01005795,2
E01005796,1
E01005797,27
E01005798,16
E01005799,22
E01005800,8
E01005801,39
E01005802,12
E01005803,13
E01005804,9
E01005805,2
E01005806,1
E01005807,3
E01005808,8
E01005809,5
E01005810,3
E01005811,8
E01005812,11
E01005813,5
E01005815,5
E01005816,10
E01005817,11
E01005818,9
E01005819,18
E01005820,7
E01005821,5
E01005822,49
E01005823,20
E01005824,11
E01005825,10
E01005826,11
E01005827,8
E01005828,10
E01005829,13
E01005830,21
E01005831,25
E01005832,10
E01005833,3
E01005834,11
E01005835,9
E01005836,13
E01005837,7
E01005838,27
E01005839,4
E01005840,33
E01005841,11
E01005842,4
E01005843,10
E01005844,22
E01005845,21
E01005846,6
E01005847,6
E01005848,23
E01005849,7
E01005850,8
E01005851,12
E01005852,17
E01005853,20
E01005854,5
E01005855,18
E01005856,9
E01005857,7
E01005858,7
E01005859,8
